mnemonic,opcode,operand
add,18,m
and,40,m
comp,28,m
div,24,m
j,3c,m
jeq,30,m
jgt,34,m
jlt,38,m
jsub,48,m
lda,00,m
ldch,50,m
ldl,08,m
ldx,04,m
mul,20,m
or,44,m
rd,d8,m
rsub,4c,
sta,0c,m
stch,54,m
stl,14,m
stsw,e8,m
stx,10,m
sub,1c,m
td,e0,m
tix,2c,m
wd,dc,m
