mnemonic,opcode,operand
add,18,1
and,40,1
comp,28,1
div,24,1
j,3c,1
jeq,30,1
jgt,34,1
jlt,38,1
jsub,48,1
lda,00,1
ldch,50,1
ldl,08,1
ldx,04,1
mul,20,1
or,44,1
rd,d8,1
rsub,4c,0
sta,0c,1
stch,54,1
stl,14,1
stsw,e8,1
stx,10,1
sub,1c,1
td,e0,1
tix,2c,1
wd,dc,1
